site_name,os_type_1,os_type_2,os_type_2,pf_type,pf_registration
openmagazines.com,,,,Fake news,"Scottsdale, Ariz. **"
openmagazines.com,fake,,,,
openmindmagazine.com,bias,conspiracy,,,
orientalreview.org,bias,conspiracy,,,
other98.com,clickbait,bias,unreliable,,
pakalertpress.com,fake,,,,
palmerreport.com,bias,,,,
pamelageller.com,conspiracy,fake,bias,,
patdollar.com,bias,clickbait,,,
patriotchronicle.com,bias,clickbait,,,
patriotnewsdaily.com,bias,,,,
patriotnewsdaily.com,satire,,,,
patriotpost.us,bias, ,,,
patriotrising.com,bias,conspiracy,,,
patriotupdate.com,bias,conspiracy,,,
paulcraigroberts.org,bias,conspiracy,,,
pjmedia.com,political,bias,,,
platosguns.com,bias,conspiracy,bias,,
politicalblindspot.com,conspiracy,junksci,,,
politicalcult.com,bias,clickbait,conspiracy,,
politicalears.com,unreliable,clickbait,,,
politicalo.com,,,,Parody site,"Jerusalem, Israel"
politicalo.com,fake, ,,,
politicalsitenews.com,fake,,,,
politicalupdator.com,fake,clickbait,bias,,
politicass.com,,,,Parody site,"Jerusalem, Israel"
politicono.com,,,,Parody site,"Jerusalem, Israel"
politicono.com,fake,,,,
politicops.com,,,,Parody site,"Jerusalem, Israel"
politicops.com,satire,fake,,,
politicot.com,,,,Parody site,"Jerusalem, Israel"
politicot.com,satire,fake,,,
politicsintheusa.com,unreliable,bias,,,
politicsusanews.com,,,,Fake news,"Panama, Pa.*"
politicsusanews.com,fake,,,,
politicususa.com,clickbait,unreliable,,,
pollhype.com,rumor ,clickbait,bias,,
powerpoliticians.com,unreliable,,,,
pravda.ru,bias,rumor,conspiracy,,
pravdareport.com,bias,rumor,conspiracy,,
prepperwebsite.com,conspiracy,fake,,,
president45donaldtrump.com,,,,Fake news,"Burlington, Mass. ~"
president45donaldtrump.com,fake,,,,
presidentialvoting2016.com,political,bias,unreliable,,
presstv.com,bias,unreliable,,,
presstv.ir,bias,unreliable,,,
prisonplanet.com,conspiracy,,,,
prisonplanet.com,conspiracy,,,,
